Source,InformationFlow,Destination,SourceLayer,DestLayer
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 017 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 018 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 019 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 020 - Commercial Vehicle OBE,Physical,Physical
Ananda Chaisuriyakul - Fleet-Freight Manager,fleet manager inquiry,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
Supalak Wattanachai - Fleet-Freight Manager,fleet manager inquiry,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
Kritsada Thongchai - Fleet-Freight Manager,fleet manager inquiry,Klongtoey Movements Pty Ltd Fleet and Freight Management Center,Physical,Physical
Napat Srisuwan - Fleet-Freight Manager,fleet manager inquiry,Buri Ram Logistics Solutions Fleet and Freight Management Center,Physical,Physical
Pimchanok Boonyarat - Fleet-Freight Manager,fleet manager inquiry,Bassac Traders Inc. Fleet and Freight Management Center,Physical,Physical
Thanakorn Rattanapong - Fleet-Freight Manager,fleet manager inquiry,Khorathidin Petroleum Fleet and Freight Management Center,Physical,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,driver to fleet request,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,on-board safety data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,on-board vehicle data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,trip log,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,commercial vehicle location data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,cv driver safety status,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,trip log information,Arthit Kanchanapong - Commercial Vehicle Driver,Physical,Physical
CPI V01 EQ01 - Commercial Vehicle OBE,cv driver safety alert,Arthit Kanchanapong - Commercial Vehicle Driver,Physical,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,driver to fleet request,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,on-board safety data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,on-board vehicle data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,trip log,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,commercial vehicle location data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,cv driver safety status,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,trip log information,Benjamas Thammarat - Commercial Vehicle Driver,Physical,Physical
CPI V02 EQ02 - Commercial Vehicle OBE,cv driver safety alert,Benjamas Thammarat - Commercial Vehicle Driver,Physical,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,driver to fleet request,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,on-board safety data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,on-board vehicle data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,trip log,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,commercial vehicle location data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,cv driver safety status,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,trip log information,Chaiwat Phanurat - Commercial Vehicle Driver,Physical,Physical
CPI V03 EQ03 - Commercial Vehicle OBE,cv driver safety alert,Chaiwat Phanurat - Commercial Vehicle Driver,Physical,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,driver to fleet request,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,on-board safety data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,on-board vehicle data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,trip log,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,commercial vehicle location data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,cv driver safety status,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,trip log information,Darika Suphakit - Commercial Vehicle Driver,Physical,Physical
CPI V04 EQ04 - Commercial Vehicle OBE,cv driver safety alert,Darika Suphakit - Commercial Vehicle Driver,Physical,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,driver to fleet request,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,on-board safety data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,on-board vehicle data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,trip log,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,commercial vehicle location data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,cv driver safety status,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,trip log information,Ekkachai Prasertkul - Commercial Vehicle Driver,Physical,Physical
CPI V05 EQ05 - Commercial Vehicle OBE,cv driver safety alert,Ekkachai Prasertkul - Commercial Vehicle Driver,Physical,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,driver to fleet request,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,on-board safety data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,on-board vehicle data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,trip log,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,commercial vehicle location data,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,cv driver safety status,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,trip log information,Fah Chantarak - Commercial Vehicle Driver,Physical,Physical
CPI V06 EQ06 - Commercial Vehicle OBE,cv driver safety alert,Fah Chantarak - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 01 - Commercial Vehicle OBE,driver to fleet request,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 01 - Commercial Vehicle OBE,on-board safety data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 01 - Commercial Vehicle OBE,on-board vehicle data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 01 - Commercial Vehicle OBE,trip log,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 01 - Commercial Vehicle OBE,commercial vehicle location data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 01 - Commercial Vehicle OBE,cv driver safety status,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 01 - Commercial Vehicle OBE,trip log information,Ganya Rattanawan - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 01 - Commercial Vehicle OBE,cv driver safety alert,Ganya Rattanawan - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 02 - Commercial Vehicle OBE,driver to fleet request,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 02 - Commercial Vehicle OBE,on-board safety data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 02 - Commercial Vehicle OBE,on-board vehicle data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 02 - Commercial Vehicle OBE,trip log,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 02 - Commercial Vehicle OBE,commercial vehicle location data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 02 - Commercial Vehicle OBE,cv driver safety status,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 02 - Commercial Vehicle OBE,trip log information,Hiran Phongpanich - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 02 - Commercial Vehicle OBE,cv driver safety alert,Hiran Phongpanich - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 03 - Commercial Vehicle OBE,driver to fleet request,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 03 - Commercial Vehicle OBE,on-board safety data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 03 - Commercial Vehicle OBE,on-board vehicle data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 03 - Commercial Vehicle OBE,trip log,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 03 - Commercial Vehicle OBE,commercial vehicle location data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 03 - Commercial Vehicle OBE,cv driver safety status,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 03 - Commercial Vehicle OBE,trip log information,Issara Wongchai - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 03 - Commercial Vehicle OBE,cv driver safety alert,Issara Wongchai - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 04 - Commercial Vehicle OBE,driver to fleet request,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 04 - Commercial Vehicle OBE,on-board safety data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 04 - Commercial Vehicle OBE,on-board vehicle data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 04 - Commercial Vehicle OBE,trip log,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 04 - Commercial Vehicle OBE,commercial vehicle location data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 04 - Commercial Vehicle OBE,cv driver safety status,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 04 - Commercial Vehicle OBE,trip log information,Jirawat Boonmee - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 04 - Commercial Vehicle OBE,cv driver safety alert,Jirawat Boonmee - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 05 - Commercial Vehicle OBE,driver to fleet request,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 05 - Commercial Vehicle OBE,on-board safety data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 05 - Commercial Vehicle OBE,on-board vehicle data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 05 - Commercial Vehicle OBE,trip log,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 05 - Commercial Vehicle OBE,commercial vehicle location data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 05 - Commercial Vehicle OBE,cv driver safety status,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 05 - Commercial Vehicle OBE,trip log information,Kanchana Srisopa - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 05 - Commercial Vehicle OBE,cv driver safety alert,Kanchana Srisopa - Commercial Vehicle Driver,Physical,Physical
KWP Sensor 06 - Commercial Vehicle OBE,driver to fleet request,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 06 - Commercial Vehicle OBE,on-board safety data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 06 - Commercial Vehicle OBE,on-board vehicle data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 06 - Commercial Vehicle OBE,trip log,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 06 - Commercial Vehicle OBE,commercial vehicle location data,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
KWP Sensor 06 - Commercial Vehicle OBE,cv driver safety status,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
