ProfileName,LevelName,FlowName
V-X: Local Unicast Wireless (1609.2),TransNet,on-board safety data
V-X: Local Unicast Wireless (1609.2),Mgmt,on-board safety data
V-X: Local Unicast Wireless (1609.2),Access,on-board safety data
V-X: Local Unicast Wireless (EU),Mgmt,on-board safety data
V-X: Local Unicast Wireless (EU),Access,on-board safety data
V-X: Local Unicast Wireless (EU),Mgmt,on-board safety data
V-X: Local Unicast Wireless (EU),TransNet,on-board safety data
V-X: Local Unicast Wireless (EU),Security,on-board safety data
(None-Comm),Access,on-board safety data
(None-Comm),TransNet,on-board safety data
(None-Comm),Security,on-board safety data
(None-Comm),Mgmt,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
I-M: Wireless SNMPv3/TLS,Security,on-board safety data
I-M: Wireless SNMPv3/TLS,TransNet,on-board safety data
I-M: Wireless SNMPv3/TLS,Access,on-board safety data
I-M: Wireless SNMPv3/TLS,TransNet,on-board safety data
I-M: Wireless SNMPv3/TLS,Security,on-board safety data
I-M: Wireless SNMPv3/TLS,Mgmt,on-board safety data
I-M: Wireless SNMPv3/TLS,Facilities,on-board safety data
I-M: Secure Wireless Internet (EU),TransNet,on-board safety data
I-M: Secure Wireless Internet (EU),Access,on-board safety data
I-M: Secure Wireless Internet (EU),TransNet,on-board safety data
I-M: Secure Wireless Internet (EU),Mgmt,on-board safety data
I-M: Secure Wireless Internet (EU),Security,on-board safety data
I-M: Secure Wireless Internet (ITS),TransNet,on-board safety data
I-M: Secure Wireless Internet (ITS),Security,on-board safety data
I-M: Secure Wireless Internet (ITS),Access,on-board safety data
I-M: Secure Wireless Internet (ITS),Mgmt,on-board safety data
I-M: Secure Wireless Internet (ITS),TransNet,on-board safety data
US: SAE J3067 (J2735 SE),ITS Application Entity,on-board safety data
US: SAE J3067 (J2735 SE),Facilities,on-board safety data
(None-Comm),Access,on-board safety data
(None-Comm),TransNet,on-board safety data
(None-Comm),Security,on-board safety data
(None-Comm),Mgmt,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
C-C: NTCIP Messaging,TransNet,on-board safety data
C-C: NTCIP Messaging,Security,on-board safety data
C-C: NTCIP Messaging,TransNet,on-board safety data
C-C: NTCIP Messaging,Mgmt,on-board safety data
C-C: NTCIP Messaging,Mgmt,on-board safety data
C-C: NTCIP Messaging,Facilities,on-board safety data
C-C: NTCIP Messaging,Access,on-board safety data
C-C: DATEX Messaging,Security,on-board safety data
C-C: DATEX Messaging,Access,on-board safety data
C-C: DATEX Messaging,Mgmt,on-board safety data
C-C: DATEX Messaging,Mgmt,on-board safety data
C-C: DATEX Messaging,TransNet,on-board safety data
C-C: DATEX Messaging,TransNet,on-board safety data
I-I: Secure Internet (ITS),TransNet,on-board safety data
I-I: Secure Internet (ITS),Security,on-board safety data
I-I: Secure Internet (ITS),Mgmt,on-board safety data
I-I: Secure Internet (ITS),Access,on-board safety data
I-I: Secure Internet (ITS),TransNet,on-board safety data
US: SAE J3067 (J2735 SE),ITS Application Entity,on-board safety data
US: SAE J3067 (J2735 SE),Facilities,on-board safety data
(None-Comm),Access,on-board safety data
(None-Comm),TransNet,on-board safety data
(None-Comm),Security,on-board safety data
(None-Comm),Mgmt,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
I-F: SNMPv1,Security,on-board safety data
I-F: SNMPv1,Facilities,on-board safety data
I-F: SNMPv1,Access,on-board safety data
I-F: SNMPv1,TransNet,on-board safety data
I-F: SNMPv1,Mgmt,on-board safety data
I-F: SNMPv3/TLS,TransNet,on-board safety data
I-F: SNMPv3/TLS,Security,on-board safety data
I-F: SNMPv3/TLS,TransNet,on-board safety data
I-F: SNMPv3/TLS,Security,on-board safety data
I-F: SNMPv3/TLS,Access,on-board safety data
I-F: SNMPv3/TLS,Facilities,on-board safety data
I-F: SNMPv3/TLS,Mgmt,on-board safety data
I-F: SNMPv1/TLS,Access,on-board safety data
I-F: SNMPv1/TLS,Mgmt,on-board safety data
I-F: SNMPv1/TLS,TransNet,on-board safety data
I-F: SNMPv1/TLS,Facilities,on-board safety data
I-F: SNMPv1/TLS,Security,on-board safety data
I-F: SNMPv1/TLS,TransNet,on-board safety data
C-C: DATEX Messaging,Security,on-board safety data
C-C: DATEX Messaging,Access,on-board safety data
C-C: DATEX Messaging,Mgmt,on-board safety data
C-C: DATEX Messaging,Mgmt,on-board safety data
C-C: DATEX Messaging,TransNet,on-board safety data
C-C: DATEX Messaging,TransNet,on-board safety data
I-I: Secure Internet (ITS),TransNet,on-board safety data
I-I: Secure Internet (ITS),Security,on-board safety data
I-I: Secure Internet (ITS),Mgmt,on-board safety data
I-I: Secure Internet (ITS),Access,on-board safety data
I-I: Secure Internet (ITS),TransNet,on-board safety data
US: SAE J3067 (J2735 SE),ITS Application Entity,on-board safety data
US: SAE J3067 (J2735 SE),Facilities,on-board safety data
I-F: ODG-OCIT-O,Security,on-board safety data
I-F: ODG-OCIT-O,Facilities,on-board safety data
I-F: ODG-OCIT-O,TransNet,on-board safety data
I-F: ODG-OCIT-O,Mgmt,on-board safety data
I-F: ODG-OCIT-O,Access,on-board safety data
I-F: UTMC,Security,on-board safety data
I-F: UTMC,Mgmt,on-board safety data
I-F: UTMC,Facilities,on-board safety data
I-F: UTMC,TransNet,on-board safety data
I-F: UTMC,TransNet,on-board safety data
I-F: UTMC,Access,on-board safety data
I-F: DMS and RWIS Comms,Access,on-board safety data
I-F: DMS and RWIS Comms,Mgmt,on-board safety data
I-F: DMS and RWIS Comms,Security,on-board safety data
I-F: DMS and RWIS Comms,TransNet,on-board safety data
I-F: DMS and RWIS Comms,Facilities,on-board safety data
I-F: AU TRAFF Comms,Access,on-board safety data
I-F: AU TRAFF Comms,TransNet,on-board safety data
I-F: AU TRAFF Comms,Security,on-board safety data
I-F: AU TRAFF Comms,TransNet,on-board safety data
I-F: AU TRAFF Comms,Facilities,on-board safety data
I-F: AU TRAFF Comms,Mgmt,on-board safety data
(None-Comm),Access,on-board vehicle data
(None-Comm),TransNet,on-board vehicle data
(None-Comm),Security,on-board vehicle data
(None-Comm),Mgmt,on-board vehicle data
(None-Data),Facilities,on-board vehicle data
(None-Data),ITS Application Entity,on-board vehicle data
(None-Data),Facilities,on-board vehicle data
(None-Data),ITS Application Entity,on-board vehicle data
(None-Data),Facilities,on-board vehicle data
(None-Data),ITS Application Entity,on-board vehicle data
(None-Data),Facilities,on-board vehicle data
(None-Data),ITS Application Entity,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Security,on-board vehicle data
I-M: Wireless SNMPv3/TLS,TransNet,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Access,on-board vehicle data
I-M: Wireless SNMPv3/TLS,TransNet,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Security,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Mgmt,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Facilities,on-board vehicle data
I-M: Secure Wireless Internet (EU),TransNet,on-board vehicle data
I-M: Secure Wireless Internet (EU),Access,on-board vehicle data
I-M: Secure Wireless Internet (EU),TransNet,on-board vehicle data
I-M: Secure Wireless Internet (EU),Mgmt,on-board vehicle data
I-M: Secure Wireless Internet (EU),Security,on-board vehicle data
I-M: Secure Wireless Internet (ITS),TransNet,on-board vehicle data
I-M: Secure Wireless Internet (ITS),Security,on-board vehicle data
I-M: Secure Wireless Internet (ITS),Access,on-board vehicle data
I-M: Secure Wireless Internet (ITS),Mgmt,on-board vehicle data
I-M: Secure Wireless Internet (ITS),TransNet,on-board vehicle data
(None-Comm),Access,on-board vehicle data
(None-Comm),TransNet,on-board vehicle data
(None-Comm),Security,on-board vehicle data
(None-Comm),Mgmt,on-board vehicle data
(None-Data),Facilities,on-board vehicle data
(None-Data),ITS Application Entity,on-board vehicle data
(None-Data),Facilities,on-board vehicle data
(None-Data),ITS Application Entity,on-board vehicle data
(None-Data),Facilities,on-board vehicle data
(None-Data),ITS Application Entity,on-board vehicle data
(None-Data),Facilities,on-board vehicle data
(None-Data),ITS Application Entity,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Security,on-board vehicle data
I-M: Wireless SNMPv3/TLS,TransNet,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Access,on-board vehicle data
I-M: Wireless SNMPv3/TLS,TransNet,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Security,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Mgmt,on-board vehicle data
I-M: Wireless SNMPv3/TLS,Facilities,on-board vehicle data
I-M: Secure Wireless Internet (EU),TransNet,on-board vehicle data
I-M: Secure Wireless Internet (EU),Access,on-board vehicle data
I-M: Secure Wireless Internet (EU),TransNet,on-board vehicle data
I-M: Secure Wireless Internet (EU),Mgmt,on-board vehicle data
I-M: Secure Wireless Internet (EU),Security,on-board vehicle data
I-M: Secure Wireless Internet (ITS),TransNet,on-board vehicle data
I-M: Secure Wireless Internet (ITS),Security,on-board vehicle data
I-M: Secure Wireless Internet (ITS),Access,on-board vehicle data
I-M: Secure Wireless Internet (ITS),Mgmt,on-board vehicle data
I-M: Secure Wireless Internet (ITS),TransNet,on-board vehicle data
(None-Comm),Access,trip log
(None-Comm),TransNet,trip log
(None-Comm),Security,trip log
(None-Comm),Mgmt,trip log
(None-Data),Facilities,trip log
(None-Data),ITS Application Entity,trip log
(None-Data),Facilities,trip log
(None-Data),ITS Application Entity,trip log
(None-Data),Facilities,trip log
(None-Data),ITS Application Entity,trip log
(None-Data),Facilities,trip log
(None-Data),ITS Application Entity,trip log
I-M: Wireless SNMPv3/TLS,Security,trip log
I-M: Wireless SNMPv3/TLS,TransNet,trip log
I-M: Wireless SNMPv3/TLS,Access,trip log
I-M: Wireless SNMPv3/TLS,TransNet,trip log
I-M: Wireless SNMPv3/TLS,Security,trip log
I-M: Wireless SNMPv3/TLS,Mgmt,trip log
I-M: Wireless SNMPv3/TLS,Facilities,trip log
I-M: Secure Wireless Internet (EU),TransNet,trip log
I-M: Secure Wireless Internet (EU),Access,trip log
I-M: Secure Wireless Internet (EU),TransNet,trip log
I-M: Secure Wireless Internet (EU),Mgmt,trip log
I-M: Secure Wireless Internet (EU),Security,trip log
I-M: Secure Wireless Internet (ITS),TransNet,trip log
I-M: Secure Wireless Internet (ITS),Security,trip log
I-M: Secure Wireless Internet (ITS),Access,trip log
I-M: Secure Wireless Internet (ITS),Mgmt,trip log
I-M: Secure Wireless Internet (ITS),TransNet,trip log
Data for Distribution (TBD),ITS Application Entity,commercial vehicle location data
(None-Comm),Access,commercial vehicle location data
(None-Comm),TransNet,commercial vehicle location data
(None-Comm),Security,commercial vehicle location data
(None-Comm),Mgmt,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
US: SAE Other J2735,ITS Application Entity,commercial vehicle location data
US: SAE Other J2735,Facilities,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Security,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,TransNet,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Access,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,TransNet,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Security,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Mgmt,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Facilities,commercial vehicle location data
I-M: Secure Wireless Internet (EU),TransNet,commercial vehicle location data
I-M: Secure Wireless Internet (EU),Access,commercial vehicle location data
I-M: Secure Wireless Internet (EU),TransNet,commercial vehicle location data
I-M: Secure Wireless Internet (EU),Mgmt,commercial vehicle location data
I-M: Secure Wireless Internet (EU),Security,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),TransNet,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),Security,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),Access,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),Mgmt,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),TransNet,commercial vehicle location data
Data for Distribution (TBD),ITS Application Entity,commercial vehicle location data
(None-Comm),Access,commercial vehicle location data
(None-Comm),TransNet,commercial vehicle location data
(None-Comm),Security,commercial vehicle location data
(None-Comm),Mgmt,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
US: SAE Other J2735,ITS Application Entity,commercial vehicle location data
US: SAE Other J2735,Facilities,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Security,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,TransNet,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Access,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,TransNet,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Security,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Mgmt,commercial vehicle location data
I-M: Wireless SNMPv3/TLS,Facilities,commercial vehicle location data
I-M: Secure Wireless Internet (EU),TransNet,commercial vehicle location data
I-M: Secure Wireless Internet (EU),Access,commercial vehicle location data
I-M: Secure Wireless Internet (EU),TransNet,commercial vehicle location data
I-M: Secure Wireless Internet (EU),Mgmt,commercial vehicle location data
I-M: Secure Wireless Internet (EU),Security,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),TransNet,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),Security,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),Access,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),Mgmt,commercial vehicle location data
I-M: Secure Wireless Internet (ITS),TransNet,commercial vehicle location data
(None-Comm),Access,commercial vehicle location data
(None-Comm),TransNet,commercial vehicle location data
(None-Comm),Security,commercial vehicle location data
(None-Comm),Mgmt,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
(None-Data),Facilities,commercial vehicle location data
(None-Data),ITS Application Entity,commercial vehicle location data
C-C: NTCIP Messaging,TransNet,commercial vehicle location data
C-C: NTCIP Messaging,Security,commercial vehicle location data
C-C: NTCIP Messaging,TransNet,commercial vehicle location data
C-C: NTCIP Messaging,Mgmt,commercial vehicle location data
C-C: NTCIP Messaging,Mgmt,commercial vehicle location data
C-C: NTCIP Messaging,Facilities,commercial vehicle location data
C-C: NTCIP Messaging,Access,commercial vehicle location data
C-C: DATEX Messaging,Security,commercial vehicle location data
C-C: DATEX Messaging,Access,commercial vehicle location data
C-C: DATEX Messaging,Mgmt,commercial vehicle location data
C-C: DATEX Messaging,Mgmt,commercial vehicle location data
C-C: DATEX Messaging,TransNet,commercial vehicle location data
C-C: DATEX Messaging,TransNet,commercial vehicle location data
I-I: Secure Internet (ITS),TransNet,commercial vehicle location data
I-I: Secure Internet (ITS),Security,commercial vehicle location data
I-I: Secure Internet (ITS),Mgmt,commercial vehicle location data
I-I: Secure Internet (ITS),Access,commercial vehicle location data
I-I: Secure Internet (ITS),TransNet,commercial vehicle location data
OMG DDS,Access,commercial vehicle location data
OMG DDS,Facilities,commercial vehicle location data
OMG DDS,Facilities,commercial vehicle location data
OMG DDS,Security,commercial vehicle location data
OMG DDS,TransNet,commercial vehicle location data
OMG DDS,TransNet,commercial vehicle location data
OMG DDS,Mgmt,commercial vehicle location data
OMG DDS,Facilities,commercial vehicle location data
Apache Kafka,Facilities,commercial vehicle location data
Apache Kafka,TransNet,commercial vehicle location data
Apache Kafka,Facilities,commercial vehicle location data
Apache Kafka,TransNet,commercial vehicle location data
Apache Kafka,Access,commercial vehicle location data
Apache Kafka,Security,commercial vehicle location data
Apache Kafka,Mgmt,commercial vehicle location data
OASIS AMQP,TransNet,commercial vehicle location data
OASIS AMQP,Facilities,commercial vehicle location data
OASIS AMQP,Mgmt,commercial vehicle location data
OASIS AMQP,Access,commercial vehicle location data
OASIS AMQP,Security,commercial vehicle location data
OASIS AMQP,TransNet,commercial vehicle location data
OASIS MQTT,Mgmt,commercial vehicle location data
OASIS MQTT,Access,commercial vehicle location data
OASIS MQTT,TransNet,commercial vehicle location data
OASIS MQTT,Security,commercial vehicle location data
OASIS MQTT,TransNet,commercial vehicle location data
OASIS MQTT,Facilities,commercial vehicle location data
OASIS MQTT,Security,commercial vehicle location data
(None-Comm),Access,cv driver safety status
(None-Comm),TransNet,cv driver safety status
(None-Comm),Security,cv driver safety status
(None-Comm),Mgmt,cv driver safety status
(None-Data),Facilities,cv driver safety status
(None-Data),ITS Application Entity,cv driver safety status
(None-Data),Facilities,cv driver safety status
(None-Data),ITS Application Entity,cv driver safety status
(None-Data),Facilities,cv driver safety status
(None-Data),ITS Application Entity,cv driver safety status
(None-Data),Facilities,cv driver safety status
(None-Data),ITS Application Entity,cv driver safety status
I-M: Wireless SNMPv3/TLS,Security,cv driver safety status
I-M: Wireless SNMPv3/TLS,TransNet,cv driver safety status
I-M: Wireless SNMPv3/TLS,Access,cv driver safety status
I-M: Wireless SNMPv3/TLS,TransNet,cv driver safety status
I-M: Wireless SNMPv3/TLS,Security,cv driver safety status
I-M: Wireless SNMPv3/TLS,Mgmt,cv driver safety status
I-M: Wireless SNMPv3/TLS,Facilities,cv driver safety status
I-M: Secure Wireless Internet (EU),TransNet,cv driver safety status
I-M: Secure Wireless Internet (EU),Access,cv driver safety status
I-M: Secure Wireless Internet (EU),TransNet,cv driver safety status
I-M: Secure Wireless Internet (EU),Mgmt,cv driver safety status
I-M: Secure Wireless Internet (EU),Security,cv driver safety status
I-M: Secure Wireless Internet (ITS),TransNet,cv driver safety status
I-M: Secure Wireless Internet (ITS),Security,cv driver safety status
I-M: Secure Wireless Internet (ITS),Access,cv driver safety status
I-M: Secure Wireless Internet (ITS),Mgmt,cv driver safety status
I-M: Secure Wireless Internet (ITS),TransNet,cv driver safety status
(None-Comm),Access,fleet to driver update
(None-Comm),TransNet,fleet to driver update
(None-Comm),Security,fleet to driver update
(None-Comm),Mgmt,fleet to driver update
(None-Data),Facilities,fleet to driver update
(None-Data),ITS Application Entity,fleet to driver update
(None-Data),Facilities,fleet to driver update
(None-Data),ITS Application Entity,fleet to driver update
(None-Data),Facilities,fleet to driver update
(None-Data),ITS Application Entity,fleet to driver update
(None-Data),Facilities,fleet to driver update
(None-Data),ITS Application Entity,fleet to driver update
I-M: Wireless SNMPv3/TLS,Security,fleet to driver update
I-M: Wireless SNMPv3/TLS,TransNet,fleet to driver update
I-M: Wireless SNMPv3/TLS,Access,fleet to driver update
I-M: Wireless SNMPv3/TLS,TransNet,fleet to driver update
I-M: Wireless SNMPv3/TLS,Security,fleet to driver update
I-M: Wireless SNMPv3/TLS,Mgmt,fleet to driver update
I-M: Wireless SNMPv3/TLS,Facilities,fleet to driver update
I-M: Secure Wireless Internet (EU),TransNet,fleet to driver update
I-M: Secure Wireless Internet (EU),Access,fleet to driver update
I-M: Secure Wireless Internet (EU),TransNet,fleet to driver update
I-M: Secure Wireless Internet (EU),Mgmt,fleet to driver update
I-M: Secure Wireless Internet (EU),Security,fleet to driver update
I-M: Secure Wireless Internet (ITS),TransNet,fleet to driver update
I-M: Secure Wireless Internet (ITS),Security,fleet to driver update
I-M: Secure Wireless Internet (ITS),Access,fleet to driver update
I-M: Secure Wireless Internet (ITS),Mgmt,fleet to driver update
I-M: Secure Wireless Internet (ITS),TransNet,fleet to driver update
(None-Comm),Access,cv repair status
(None-Comm),TransNet,cv repair status
(None-Comm),Security,cv repair status
(None-Comm),Mgmt,cv repair status
(None-Data),Facilities,cv repair status
(None-Data),ITS Application Entity,cv repair status
(None-Data),Facilities,cv repair status
(None-Data),ITS Application Entity,cv repair status
(None-Data),Facilities,cv repair status
(None-Data),ITS Application Entity,cv repair status
(None-Data),Facilities,cv repair status
(None-Data),ITS Application Entity,cv repair status
C-C: NTCIP Messaging,TransNet,cv repair status
C-C: NTCIP Messaging,Security,cv repair status
C-C: NTCIP Messaging,TransNet,cv repair status
C-C: NTCIP Messaging,Mgmt,cv repair status
C-C: NTCIP Messaging,Mgmt,cv repair status
C-C: NTCIP Messaging,Facilities,cv repair status
C-C: NTCIP Messaging,Access,cv repair status
C-C: DATEX Messaging,Security,cv repair status
C-C: DATEX Messaging,Access,cv repair status
C-C: DATEX Messaging,Mgmt,cv repair status
C-C: DATEX Messaging,Mgmt,cv repair status
C-C: DATEX Messaging,TransNet,cv repair status
C-C: DATEX Messaging,TransNet,cv repair status
I-I: Secure Internet (ITS),TransNet,cv repair status
I-I: Secure Internet (ITS),Security,cv repair status
I-I: Secure Internet (ITS),Mgmt,cv repair status
I-I: Secure Internet (ITS),Access,cv repair status
I-I: Secure Internet (ITS),TransNet,cv repair status
OMG DDS,Access,cv repair status
OMG DDS,Facilities,cv repair status
OMG DDS,Facilities,cv repair status
OMG DDS,Security,cv repair status
OMG DDS,TransNet,cv repair status
OMG DDS,TransNet,cv repair status
OMG DDS,Mgmt,cv repair status
OMG DDS,Facilities,cv repair status
Apache Kafka,Facilities,cv repair status
Apache Kafka,TransNet,cv repair status
Apache Kafka,Facilities,cv repair status
Apache Kafka,TransNet,cv repair status
Apache Kafka,Access,cv repair status
Apache Kafka,Security,cv repair status
Apache Kafka,Mgmt,cv repair status
OASIS AMQP,TransNet,cv repair status
OASIS AMQP,Facilities,cv repair status
OASIS AMQP,Mgmt,cv repair status
OASIS AMQP,Access,cv repair status
OASIS AMQP,Security,cv repair status
OASIS AMQP,TransNet,cv repair status
OASIS MQTT,Mgmt,cv repair status
OASIS MQTT,Access,cv repair status
OASIS MQTT,TransNet,cv repair status
OASIS MQTT,Security,cv repair status
OASIS MQTT,TransNet,cv repair status
OASIS MQTT,Facilities,cv repair status
OASIS MQTT,Security,cv repair status
Data for Distribution (TBD),ITS Application Entity,road network conditions
Data for Distribution (TBD),ITS Application Entity,road network conditions
(None-Comm),Access,road network conditions
(None-Comm),TransNet,road network conditions
(None-Comm),Security,road network conditions
(None-Comm),Mgmt,road network conditions
(None-Data),Facilities,road network conditions
(None-Data),ITS Application Entity,road network conditions
(None-Data),Facilities,road network conditions
(None-Data),ITS Application Entity,road network conditions
C-C: NTCIP Messaging,TransNet,road network conditions
C-C: NTCIP Messaging,Security,road network conditions
C-C: NTCIP Messaging,TransNet,road network conditions
C-C: NTCIP Messaging,Mgmt,road network conditions
C-C: NTCIP Messaging,Mgmt,road network conditions
C-C: NTCIP Messaging,Facilities,road network conditions
